Date;Libelle;Montant
2026-08-01;VIR SALAIRE AOUT;2400000.00
2026-08-01;LOYER APPARTEMENT ANKORONDRANO;-750000.00
2026-08-02;JUMBO SCORE ANKORONDRANO;-135000.00
2026-08-02;TAXI-BE COURSE;-2000.00
2026-08-03;NETFLIX ABONNEMENT;-45000.00
2026-08-03;TELMA RECHARGE CREDIT;-20000.00
2026-08-04;PHARMACIE METROPOLE;-38000.00
2026-08-05;HOTELY GASY RESTAURANT;-25000.00
2026-08-06;JIRAMA FACTURE ELECTRICITE;-180000.00
2026-08-07;LALAO VETEMENTS;-95000.00
2026-08-08;SHOPRITE ANALAKELY;-112000.00
2026-08-09;GALANA STATION CARBURANT;-150000.00
2026-08-10;ORANGE MADAGASCAR ABONNEMENT;-49000.00
2026-08-11;VIREMENT EPARGNE BNI;-300000.00
2026-08-12;QUINCAILLERIE MATERIAUX;-68000.00
2026-08-13;PHARMACIE ANALAKELY;-21500.00
2026-08-14;BOLT COURSE ANTANANARIVO;-15000.00
2026-08-15;LEADER PRICE ANOSY;-87000.00
2026-08-16;BOULANGERIE CENTRALE;-9500.00
2026-08-17;CINEMA CGM;-25000.00
2026-08-18;MVOLA RECHARGE;-10000.00
2026-08-19;REMBOURSEMENT CNAPS;55000.00
2026-08-20;GARGOTE ANALAKELY;-18000.00
2026-08-21;SCORE ANKORONDRANO;-143000.00
2026-08-22;TAXI-BE COURSE;-2000.00
2026-08-23;LALAO VETEMENTS ENFANT;-62000.00
2026-08-24;CLINIQUE SAINT FRANCOIS;-85000.00
2026-08-25;MATERIAUX CONSTRUCTION;-210000.00
2026-08-26;TELMA INTERNET BOX;-99000.00
2026-08-27;VIR SALAIRE COMPLEMENT;250000.00
2026-08-28;SUPERMAKI ANKORONDRANO;-118000.00
2026-08-29;PARKING ANALAKELY;-3000.00
2026-08-30;GLACIER TSARALALANA;-16000.00
2026-08-31;VIREMENT EPARGNE BNI;-150000.00
